Wavelength (nm) 	Jph (mA/cm2/nm)
300	2.74E-05
301	5.60E-05
302	8.76E-05
303	1.96E-04
304	2.62E-04
305	4.32E-04
306	4.89E-04
307	7.84E-04
308	9.82E-04
309	0.001042502
310	0.001452694
311	0.002089809
312	0.002415015
313	0.002706579
314	0.003162348
315	0.003227229
316	0.003482748
317	0.004516038
318	0.00462978
319	0.00514242
320	0.005800842
321	0.00631188
322	0.005689503
323	0.005989878
324	0.007281891
325	0.007889049
326	0.010342512
327	0.010298457
328	0.009539109
329	0.011797128
330	0.011941308
331	0.010929645
332	0.0116946
333	0.011209995
334	0.01155843
335	0.012360231
336	0.010779057
337	0.010499508
338	0.0120951
339	0.012794373
340	0.013714722
341	0.012906513
342	0.013719528
343	0.013814046
344	0.011370195
345	0.013163634
346	0.013425561
347	0.013553721
348	0.013419954
349	0.013250943
350	0.015426459
351	0.015279075
352	0.014269014
353	0.015516171
354	0.01732563
355	0.01715742
356	0.015372792
357	0.013198077
358	0.011945313
359	0.014947461
360	0.01685304
361	0.014957073
362	0.016305957
363	0.01734165
364	0.01767807
365	0.01923201
366	0.02167506
367	0.0211464
368	0.0197046
369	0.02134665
370	0.02139471
371	0.02110635
372	0.0197046
373	0.01766205
374	0.01668483
375	0.01871937
376	0.02025729
377	0.02286054
378	0.02570409
379	0.02150685
380	0.02219571
381	0.02225979
382	0.016817796
383	0.013798026
384	0.014111217
385	0.02040147
386	0.01967256
387	0.02013714
388	0.01977669
389	0.02261223
390	0.02511135
391	0.02697768
392	0.02298069
393	0.013617
394	0.018697743
395	0.02650509
396	0.02081799
397	0.016863453
398	0.02977317
399	0.03485952
400	0.03583674
401	0.0374067
402	0.03899268
403	0.03763098
404	0.03833586
405	0.0374868
406	0.03665376
407	0.03609306
408	0.03777516
409	0.0404505
410	0.03457116
411	0.03880044
412	0.0413316
413	0.03976164
414	0.03942522
415	0.04089906
416	0.04222872
417	0.04128354
418	0.03958542
419	0.04129956
420	0.03793536
421	0.04318992
422	0.0426933
423	0.04144374
424	0.04131558
425	0.04267728
426	0.0415719
427	0.04025826
428	0.04073886
429	0.03782322
430	0.03024576
431	0.02752236
432	0.04588128
433	0.04278942
434	0.03961746
435	0.04355838
436	0.04788378
437	0.04898916
438	0.04310982
439	0.0415719
440	0.04775562
441	0.04721094
442	0.05063922
443	0.05148828
444	0.05028678
445	0.0523053
446	0.04700268
447	0.05357088
448	0.05432382
449	0.05432382
450	0.05643846
451	0.05864922
452	0.05627826
453	0.05208102
454	0.0559899
455	0.05570154
456	0.05765598
457	0.05826474
458	0.05714334
459	0.05680692
460	0.05656662
461	0.05866524
462	0.0593541
463	0.05969052
464	0.0579924
465	0.05739966
466	0.05872932
467	0.0562302
468	0.05877738
469	0.05914584
470	0.05698314
471	0.05805648
472	0.06121242
473	0.0589536
474	0.05972256
475	0.06182118
476	0.0598347
477	0.0603153
478	0.06238188
479	0.06130854
480	0.06246198
481	0.06257412
482	0.06292656
483	0.06228576
484	0.06122844
485	0.06116436
486	0.04969404
487	0.05576562
488	0.0604755
489	0.05709528
490	0.0639198
491	0.06156486
492	0.05882544
493	0.0630387
494	0.061677
495	0.06561792
496	0.06252606
497	0.06371154
498	0.06210954
499	0.06222168
500	0.06212556
501	0.06034734
502	0.06041142
503	0.06331104
504	0.0591138
505	0.06348726
506	0.06617862
507	0.0634392
508	0.06194934
509	0.0650412
510	0.06348726
511	0.0648009
512	0.0666432
513	0.06273432
514	0.0615168
515	0.06342318
516	0.06412806
517	0.05235336
518	0.0599949
519	0.05824872
520	0.06371154
521	0.06428826
