wavelength	alpha
2.50E+02	1.84E+06
2.60E+02	1.97E+06
2.70E+02	2.18E+06
2.80E+02	2.37E+06
2.90E+02	2.29E+06
3.00E+02	1.77E+06
3.10E+02	1.46E+06
3.20E+02	1.30E+06
3.30E+02	1.18E+06
3.40E+02	1.10E+06
3.50E+02	1.06E+06
3.60E+02	1.04E+06
3.70E+02	7.37E+05
3.80E+02	3.13E+05
3.90E+02	1.43E+05
4.00E+02	9.30E+04
4.10E+02	6.95E+04
4.20E+02	5.27E+04
4.30E+02	4.02E+04
4.40E+02	3.07E+04
4.50E+02	2.41E+04
4.60E+02	1.95E+04
4.70E+02	1.66E+04
4.80E+02	1.44E+04
4.90E+02	1.26E+04
5.00E+02	1.11E+04
5.10E+02	9.70E+03
5.20E+02	8.80E+03
5.30E+02	7.85E+03
5.40E+02	7.05E+03
5.50E+02	6.39E+03
5.60E+02	5.78E+03
5.70E+02	5.32E+03
5.80E+02	4.88E+03
5.90E+02	4.49E+03
6.00E+02	4.18E+03
6.10E+02	3.80E+03
6.20E+02	3.52E+03
6.30E+02	3.28E+03
6.40E+02	3.03E+03
6.50E+02	2.79E+03
6.60E+02	2.57E+03
6.70E+02	2.39E+03
6.80E+02	2.20E+03
6.90E+02	2.04E+03
7.00E+02	1.89E+03
7.10E+02	1.78E+03
7.20E+02	1.68E+03
7.30E+02	1.54E+03
7.40E+02	1.42E+03
7.50E+02	1.31E+03
7.60E+02	1.19E+03
7.70E+02	1.10E+03
7.80E+02	1.03E+03
7.90E+02	9.28E+02
8.00E+02	8.50E+02
8.10E+02	7.75E+02
8.20E+02	7.07E+02
8.30E+02	6.47E+02
8.40E+02	5.90E+02
8.50E+02	5.34E+02
8.60E+02	4.79E+02
8.70E+02	4.31E+02
8.80E+02	3.83E+02
8.90E+02	3.43E+02
9.00E+02	3.03E+02
9.10E+02	2.71E+02
9.20E+02	2.40E+02
9.30E+02	2.09E+02
9.40E+02	1.83E+02
9.50E+02	1.56E+02
9.60E+02	1.34E+02
9.70E+02	1.13E+02
9.80E+02	9.60E+01
9.90E+02	7.90E+01
1.00E+03	6.40E+01
1.01E+03	5.11E+01
1.02E+03	3.99E+01
1.03E+03	3.02E+01
1.04E+03	2.26E+01
1.05E+03	1.63E+01
1.06E+03	1.11E+01
1.07E+03	8.00E+00
1.08E+03	6.20E+00
1.09E+03	4.70E+00
1.10E+03	3.50E+00
1.11E+03	2.70E+00
1.12E+03	2.00E+00
1.13E+03	1.50E+00
1.14E+03	1.00E+00
1.15E+03	6.80E-01
1.16E+03	4.20E-01
1.17E+03	2.20E-01
1.18E+03	6.50E-02
1.19E+03	3.60E-02
1.20E+03	2.20E-02
1.21E+03	1.30E-02
1.22E+03	8.20E-03
1.23E+03	4.70E-03
1.24E+03	2.40E-03
1.25E+03	1.00E-03
1.26E+03	3.60E-04
1.27E+03	2.00E-04
1.28E+03	1.20E-04
1.29E+03	7.10E-05
1.30E+03	4.50E-05
1.31E+03	2.70E-05
1.32E+03	1.60E-05
1.33E+03	8.00E-06
1.34E+03	3.50E-06
1.35E+03	1.70E-06
1.36E+03	9.50E-07
1.37E+03	6.00E-07
1.38E+03	3.80E-07
1.39E+03	2.30E-07
1.40E+03	1.40E-07
1.41E+03	8.50E-08
1.42E+03	5.00E-08
1.43E+03	2.50E-08
1.44E+03	1.80E-08
1.45E+03	1.20E-08

