WL	QE	DSig	MSig	Mcorr	DSD	MSD	RSD	GC
300	5.80E+01	4.65E-02	3.19E-03	1.00E+00	0.125	0.352	0.284	B-CA-3
305	5.95E+01	5.27E-02	3.52E-03	1.00E+00	0.087	0.056	0.032	B-CA-3
310	6.04E+01	6.01E-02	3.88E-03	1.00E+00	0.086	0.048	0.039	B-CA-3
315	6.13E+01	6.90E-02	4.27E-03	1.00E+00	0.096	0.053	0.052	B-CA-3
320	6.21E+01	7.56E-02	4.53E-03	1.00E+00	0.053	0.005	0.055	B-CA-3
325	6.26E+01	7.94E-02	4.66E-03	1.00E+00	0.047	0.096	0.049	B-CA-3
330	6.35E+01	8.20E-02	4.76E-03	1.00E+00	0.043	0.044	0.046	B-CA-3
335	6.42E+01	8.46E-02	4.86E-03	1.00E+00	0.088	0.071	0.039	B-CA-3
340	6.50E+01	8.68E-02	4.93E-03	1.00E+00	0.102	0.06	0.046	B-CA-3
345	6.57E+01	8.83E-02	4.97E-03	1.00E+00	0.018	0.037	0.043	B-CA-3
350	6.62E+01	8.86E-02	4.92E-03	1.00E+00	0.009	0.029	0.032	B-CA-3
355	6.70E+01	8.72E-02	4.77E-03	1.00E+00	0.095	0.083	0.041	B-CA-3
360	6.72E+01	8.28E-02	4.45E-03	1.00E+00	0.083	0.042	0.111	B-CA-3
365	6.86E+01	7.38E-02	3.93E-03	1.00E+00	0.026	0.047	0.073	B-CA-3
370	7.06E+01	5.83E-02	3.16E-03	1.00E+00	0.193	0.055	0.155	B-CA-3
375	7.38E+01	3.68E-02	2.13E-03	9.98E-01	0.078	0.164	0.093	M-CA-3
380	7.53E+01	9.68E-02	6.56E-03	1.01E+00	0.033	0.05	0.017	B-CA-3
385	7.76E+01	1.08E-01	8.71E-03	1.01E+00	0.162	0.1	0.064	B-CA-3
390	7.98E+01	1.20E-01	1.14E-02	1.01E+00	0.153	0.061	0.106	B-CA-3
395	8.17E+01	1.33E-01	1.49E-02	1.01E+00	0.129	0.074	0.055	B-CA-3
400	8.34E+01	1.43E-01	1.86E-02	1.00E+00	0.07	0.031	0.078	B-CA-3
405	8.49E+01	1.61E-01	2.94E-02	1.00E+00	0.133	0.258	0.197	B-M-3
410	8.60E+01	1.89E-01	3.82E-02	1.00E+00	0.091	0.057	0.034	B-CA-3
415	8.73E+01	2.15E-01	4.76E-02	1.00E+00	0.052	0.038	0.014	B-M-3
420	8.82E+01	2.48E-01	5.99E-02	1.00E+00	0.054	0.036	0.021	B-B-3
425	8.89E+01	2.74E-01	7.12E-02	1.00E+00	0.114	0.064	0.054	B-B-3
430	8.96E+01	3.19E-01	8.77E-02	9.99E-01	0.121	0.092	0.031	B-B-3
435	9.02E+01	3.72E-01	1.07E-01	9.98E-01	0.03	0.012	0.018	B-B-3
440	9.10E+01	4.03E-01	1.24E-01	9.97E-01	0.165	0.1	0.066	B-B-3
445	9.14E+01	4.20E-01	1.37E-01	9.97E-01	0.12	0.081	0.046	B-B-3
450	9.20E+01	4.77E-01	1.66E-01	9.97E-01	0.06	0.039	0.022	M-B-3
455	9.23E+01	4.72E-01	1.74E-01	9.96E-01	0.125	0.092	0.034	B-B-3
460	9.26E+01	5.03E-01	1.97E-01	9.96E-01	0.211	0.116	0.096	A-B-3
465	9.30E+01	5.50E-01	2.29E-01	9.97E-01	0.034	0.022	0.014	A-B-3
470	9.34E+01	5.98E-01	2.64E-01	9.95E-01	0.161	0.097	0.067	A-B-3
475	9.38E+01	5.27E-01	2.44E-01	9.94E-01	0.209	0.124	0.085	A-B-3
480	9.39E+01	4.99E-01	2.44E-01	9.94E-01	0.159	0.094	0.069	A-B-3
485	9.43E+01	4.93E-01	2.52E-01	9.92E-01	0.102	0.05	0.053	A-B-3
490	9.44E+01	4.96E-01	2.62E-01	9.94E-01	0.048	0.011	0.042	A-B-3
495	9.46E+01	5.07E-01	2.74E-01	9.92E-01	0.097	0.055	0.044	A-B-3
500	9.48E+01	4.97E-01	2.74E-01	9.91E-01	0.078	0.023	0.057	A-B-3
505	9.49E+01	5.17E-01	2.88E-01	9.92E-01	0.059	0.033	0.031	A-B-3
510	9.49E+01	5.38E-01	3.02E-01	9.92E-01	0.062	0.02	0.042	A-B-3
515	9.51E+01	5.67E-01	3.20E-01	9.91E-01	0.141	0.08	0.066	A-B-3
520	9.51E+01	5.91E-01	3.36E-01	9.91E-01	0.135	0.048	0.087	A-B-3
525	9.51E+01	6.13E-01	3.50E-01	9.90E-01	0.057	0.027	0.03	A-B-3
530	9.52E+01	6.32E-01	3.64E-01	9.90E-01	0.1	0.061	0.039	A-B-3
535	9.53E+01	6.50E-01	3.76E-01	9.90E-01	0.06	0.028	0.032	A-B-3
540	9.54E+01	6.63E-01	3.87E-01	9.89E-01	0.13	0.043	0.094	A-B-3
545	9.54E+01	6.74E-01	3.96E-01	9.91E-01	0.167	0.084	0.083	A-B-3
550	9.56E+01	6.80E-01	4.02E-01	9.87E-01	0.019	0.007	0.018	A-B-3
555	9.54E+01	6.79E-01	4.05E-01	9.90E-01	0.202	0.113	0.091	A-B-3
560	9.55E+01	6.73E-01	4.04E-01	9.89E-01	0.1	0.04	0.062	A-B-3
565	9.55E+01	6.61E-01	4.00E-01	9.90E-01	0.193	0.114	0.08	A-B-3
570	9.55E+01	6.47E-01	3.94E-01	9.90E-01	0.176	0.096	0.083	A-B-3
575	9.56E+01	6.28E-01	3.86E-01	9.89E-01	0.088	0.031	0.057	A-B-3
580	9.56E+01	6.03E-01	3.72E-01	9.89E-01	0.003	0.008	0.005	A-B-3
585	9.55E+01	5.75E-01	3.57E-01	9.90E-01	0.139	0.064	0.075	A-B-3
590	9.57E+01	5.41E-01	3.38E-01	9.89E-01	0.074	0.024	0.063	A-B-3
595	9.56E+01	5.00E-01	3.14E-01	9.89E-01	0.099	0.057	0.043	A-B-3
600	9.57E+01	4.60E-01	2.90E-01	9.89E-01	0.101	0.048	0.054	B-B-3
605	9.57E+01	6.40E-01	4.10E-01	9.88E-01	0.118	0.071	0.048	A-B-3
610	9.57E+01	6.94E-01	4.47E-01	9.88E-01	0.071	0.042	0.03	A-B-3
615	9.58E+01	6.89E-01	4.45E-01	9.87E-01	0.104	0.019	0.084	A-B-3
620	9.58E+01	7.04E-01	4.57E-01	9.88E-01	0.073	0.023	0.05	A-B-3
625	9.58E+01	6.44E-01	4.20E-01	9.87E-01	0.173	0.073	0.105	A-B-3
630	9.56E+01	6.86E-01	4.50E-01	9.88E-01	0.113	0.064	0.053	A-B-3
635	9.58E+01	5.90E-01	3.88E-01	9.87E-01	0.103	0.043	0.063	A-B-3
640	9.56E+01	5.69E-01	3.77E-01	9.89E-01	0.1	0.03	0.07	A-B-3
645	9.57E+01	6.11E-01	4.05E-01	9.87E-01	0.166	0.055	0.112	A-B-3
650	9.58E+01	5.46E-01	3.64E-01	9.88E-01	0.154	0.052	0.102	A-B-3
655	9.57E+01	5.71E-01	3.82E-01	9.85E-01	0.076	0.02	0.057	A-B-3
660	9.55E+01	5.59E-01	3.74E-01	9.88E-01	0.17	0.083	0.088	A-B-3
665	9.56E+01	5.20E-01	3.49E-01	9.87E-01	0.033	0.007	0.035	A-B-3
670	9.55E+01	5.58E-01	3.76E-01	9.88E-01	0.045	0.021	0.025	A-B-3
675	9.56E+01	5.47E-01	3.70E-01	9.87E-01	0.074	0.026	0.048	A-B-3
680	9.54E+01	5.41E-01	3.69E-01	9.87E-01	0.096	0.051	0.048	A-B-3
685	9.54E+01	5.85E-01	4.01E-01	9.89E-01	0.107	0.054	0.054	A-B-3
690	9.55E+01	5.52E-01	3.79E-01	9.88E-01	0.06	0.019	0.049	A-B-3
695	9.54E+01	5.16E-01	3.56E-01	9.88E-01	0.135	0.057	0.079	A-B-3
700	9.53E+01	5.12E-01	3.55E-01	9.88E-01	0.099	0.041	0.059	A-B-3
705	9.53E+01	5.06E-01	3.51E-01	9.88E-01	0.197	0.102	0.096	A-B-3
710	9.52E+01	5.17E-01	3.61E-01	9.87E-01	0.124	0.07	0.056	A-B-3
715	9.52E+01	5.33E-01	3.73E-01	9.88E-01	0.009	0.007	0.008	A-B-3
720	9.53E+01	5.05E-01	3.54E-01	9.87E-01	0.06	0.015	0.045	A-B-3
725	9.52E+01	4.98E-01	3.51E-01	9.87E-01	0.052	0.008	0.047	A-B-3
730	9.51E+01	5.41E-01	3.83E-01	9.88E-01	0.225	0.107	0.12	A-B-3
735	9.51E+01	5.62E-01	3.99E-01	9.88E-01	0.012	0.013	0.011	A-B-3
740	9.51E+01	5.24E-01	3.73E-01	9.88E-01	0.046	0.021	0.029	A-B-3
745	9.50E+01	5.14E-01	3.67E-01	9.88E-01	0.162	0.059	0.11	A-B-3
750	9.49E+01	4.97E-01	3.56E-01	9.88E-01	0.225	0.1	0.13	A-B-3
755	9.49E+01	4.79E-01	3.45E-01	9.87E-01	0.112	0.067	0.045	B-B-3
760	9.48E+01	4.99E-01	3.62E-01	9.90E-01	0.13	0.06	0.071	A-B-3
765	9.47E+01	6.88E-01	5.02E-01	9.90E-01	0.045	0.03	0.015	A-A-3
770	9.48E+01	4.40E-01	3.20E-01	9.89E-01	0.108	0.03	0.08	M-B-3
775	9.45E+01	3.98E-01	2.91E-01	9.88E-01	0.115	0.077	0.039	B-B-3
780	9.45E+01	3.86E-01	2.83E-01	9.87E-01	0.099	0.036	0.065	B-B-3
785	9.45E+01	3.74E-01	2.76E-01	9.87E-01	0.124	0.075	0.049	B-B-3
790	9.44E+01	4.20E-01	3.12E-01	9.88E-01	0.158	0.086	0.073	B-B-3
795	9.44E+01	3.99E-01	2.96E-01	9.87E-01	0.066	0.042	0.03	B-B-3
800	9.44E+01	4.12E-01	3.06E-01	9.87E-01	0.087	0.025	0.072	B-B-3
805	9.42E+01	3.76E-01	2.79E-01	9.87E-01	0.106	0.069	0.038	B-B-3
810	9.42E+01	3.84E-01	2.86E-01	9.87E-01	0.082	0.043	0.039	B-B-3
815	9.40E+01	4.55E-01	3.40E-01	9.89E-01	0.169	0.089	0.081	B-B-3
820	9.35E+01	1.11E+00	8.48E-01	1.01E+00	0.232	0.157	0.076	A-A-3
825	9.39E+01	2.75E+00	2.06E+00	9.94E-01	0.114	0.076	0.039	A-A-3
830	9.41E+01	1.41E+00	1.04E+00	9.94E-01	0.139	0.09	0.05	A-A-3
835	9.35E+01	1.13E+00	8.32E-01	9.91E-01	0.205	0.123	0.083	A-A-3
840	9.36E+01	7.02E-01	5.13E-01	9.88E-01	0.114	0.062	0.054	A-A-3
