Date	Time	Serial number	Customer	Modul type	Protocol file	File version	
27.09.2016	15:43:49					1.03	

[mm²] Cell area	[°C] T Cell	[%/K] Modul-TkI	[%/K] Modul TkU	[°C] T Monitor Cell	[%/K] Monitor Cell TkI	LoadType	Measurement type	[W/m²] corrected to	Gain monitor mell	Optical class	[W/m²/mV] Calibration value	Spectral mismatch faktor	Correction Type	CellParamTkI_Umpp	CellParamTkU_Umpp	IEC60891_RsType	IEC60891_TkI	IEC60891_TkU	IEC60891_Kfact	MeasureTimeLf	
23590.000000000	22.171234200	0.070000000	-0.200000000	22.291587275	0.065590000	EL3	LF2	1000.000000000	100.000000000	0	15.589536000	1.000000000	S	0.070000000	-0.360000000	1.000000000	0.008000000	-2.000000000	0.012500000	19.900000000	

[A]Isc	[V]Uoc	[A]Impp	[V]Umpp	[W]Pmpp	[%]Eta	[%]FF	[Ohm]Rser	[Ohm]Rshunt	[W/m²]Irrad.	
9.439855146	0.672832639	8.742189700	0.575808166	5.033824220	21.338805511	79.254816506	0.004029179	48.378290829	995.302736411	

Ufrom[V]	Uto[V]	Lines	Decimals	Ifrom[A]	Ito[A]	Lines	Decimals	
0.000000000	1.000000000	10	1	0.000000000	10.000000000	10	1	

Nr	[V]Uraw	[A]Iraw	[mV]Eraw	[V]Uflt	[A]Iflt	[mV]Eflt	[V]Ucor	[A]Icor	[W/m2]Ecor	
0	-2.448275615	9.471460347	63.549882755	-2.449196927	9.470793166	63.562081074	-2.436067900	9.559687200	992.666771947	
1	-2.449196927	9.470793166	63.562081074	-2.430038366	9.463864752	63.541203182	-2.417040831	9.555832507	992.340716079	
2	-2.433534626	9.464788541	63.546833175	-2.400383563	9.459398423	63.524041580	-2.387568030	9.553903153	992.072698540	
3	-2.406509479	9.455781602	63.513287799	-2.367306993	9.455564043	63.512492256	-2.354683580	9.551767075	991.892329528	
4	-2.371806733	9.454447241	63.501089480	-2.334046300	9.452358675	63.504271650	-2.321611145	9.549765148	991.763946025	
5	-2.335261364	9.453446470	63.504139059	-2.298489004	9.449602929	63.500426528	-2.286248310	9.547559100	991.703895677	
6	-2.299330202	9.447775435	63.491940741	-2.261890225	9.447630395	63.501619841	-2.249842906	9.545386739	991.722531992	
7	-2.262477729	9.444773122	63.485841581	-2.224997695	9.446223514	63.506790868	-2.213140337	9.543188186	991.803289357	
8	-2.224089736	9.448442615	63.507188639	-2.188292097	9.444425027	63.512757437	-2.176622933	9.540474894	991.896470931	
9	-2.188465678	9.444439531	63.519386958	-2.151519738	9.442728068	63.518591415	-2.140039536	9.537884572	991.987581804	
10	-2.151306101	9.442104399	63.519386958	-2.114920959	9.441190652	63.525088346	-2.103628240	9.535356349	992.089046185	
11	-2.114146523	9.443772351	63.528535697	-2.078589227	9.439029567	63.529596421	-2.067485183	9.532497234	992.159450041	
12	-2.079136674	9.438101315	63.531585277	-2.042257495	9.437028025	63.533308952	-2.031343234	9.529918964	992.217429688	
13	-2.041669992	9.435099003	63.525486117	-2.006206163	9.435055491	63.537154075	-1.995480188	9.527350406	992.277480036	
14	-2.006045935	9.436099774	63.540734016	-1.970288354	9.432720359	63.539938473	-1.959751296	9.524575034	992.320964770	
15	-1.969807669	9.434098232	63.543783596	-1.934423954	9.430994391	63.543253234	-1.924075058	9.522335497	992.372732312	
16	-1.934183611	9.430762329	63.546833175	-1.898799896	9.429703542	63.549087213	-1.888635297	9.520158089	992.463843185	
17	-1.899173762	9.427426425	63.540734016	-1.863336067	9.428340173	63.555584143	-1.853354441	9.517808590	992.565307566	
18	-1.862935496	9.425424884	63.543783596	-1.828085875	9.427542457	63.564202521	-1.818284140	9.515712938	992.699903173	
19	-1.827311439	9.429094377	63.559031494	-1.793076025	9.427020315	63.574809755	-1.783451214	9.513598338	992.865559306	
20	-1.792301589	9.429761558	63.586477712	-1.758279813	9.426208096	63.585416988	-1.748831202	9.511191749	993.031215438	
21	-1.758520155	9.424424113	63.586477712	-1.723670533	9.425584427	63.595361270	-1.714398185	9.509075310	993.186518062	
22	-1.723510305	9.425091293	63.592576871	-1.689381710	9.424148538	63.603316695	-1.680286196	9.506437500	993.310760162	
23	-1.689114663	9.426092064	63.607824770	-1.655186354	9.422393563	63.607692179	-1.646270840	9.504013388	993.379093316	
24	-1.654719022	9.422422571	63.613923929	-1.621191282	9.420870651	63.611139530	-1.612455712	9.501962305	993.432931559	
25	-1.620323380	9.423089751	63.616973509	-1.587449905	9.418767581	63.612598025	-1.578894833	9.499623323	993.455709278	
26	-1.588077466	9.416417945	63.613923929	-1.553695176	9.417230165	63.613393567	-1.545321314	9.497953927	993.468133488	
27	-1.553067616	9.416417945	63.607824770	-1.520274255	9.415953819	63.615912785	-1.512078350	9.496290568	993.507476819	
28	-1.520514598	9.415750764	63.613923929	-1.486880040	9.414793505	63.619890498	-1.478860812	9.494526690	993.569597869	
29	-1.486733164	9.412414861	63.610874349	-1.453632699	9.414111821	63.625724477	-1.445787980	9.492968722	993.660708741	
30	-1.452337522	9.417085126	63.623072668	-1.420745873	9.413009522	63.632088817	-1.413073508	9.490907836	993.760102421	
31	-1.421320023	9.413082042	63.638320567	-1.387965865	9.411457602	63.636464301	-1.380467079	9.488690609	993.828435576	
32	-1.386924382	9.412748452	63.644419726	-1.355386142	9.409789651	63.638453157	-1.348061848	9.486712478	993.859496100	
33	-1.355599779	9.409412548	63.644419726	-1.322939942	9.407802613	63.638453157	-1.315790983	9.484709196	993.859496100	
34	-1.322739657	9.408745368	63.641370147	-1.290467038	9.406047637	63.637525024	-1.283494236	9.483078180	993.845001189	
35	-1.291107951	9.403741513	63.635270987	-1.258207772	9.404495717	63.636862072	-1.251409749	9.481612327	993.834647681	
36	-1.257633621	9.403741513	63.626122248	-1.225988562	9.403320899	63.637790205	-1.219363973	9.480289607	993.849142592	
37	-1.225387707	9.403741513	63.635270987	-1.194103161	9.401986538	63.639646471	-1.187649608	9.478667838	993.878132415	
38	-1.193448896	9.402740742	63.644419726	-1.162351284	9.400971263	63.642165689	-1.156067676	9.477269118	993.917475747	
39	-1.162431398	9.400739200	63.644419726	-1.130973272	9.399651406	63.644419726	-1.124857848	9.475602948	993.952677675	
40	-1.130185484	9.400405610	63.644419726	-1.099688727	9.398302541	63.645745630	-1.093741639	9.474045811	993.973384691	
41	-1.100089297	9.397069707	63.644419726	-1.068617819	9.396924668	63.646143402	-1.062838521	9.472597632	993.979596796	
42	-1.067843383	9.398070478	63.650518886	-1.037800606	9.394966637	63.644419726	-1.032188986	9.470880326	993.952677675	
43	-1.038361404	9.394400984	63.644419726	-1.007130268	9.392863568	63.640574604	-1.001686684	9.469332360	993.892627327	
44	-1.005501282	9.395401755	63.647469306	-0.976740330	9.390542940	63.635005806	-0.971464086	9.467821310	993.805657857	
